open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-07-10,44.34,44.64,43.44,44.3,256685.44543,1594425599999,11325710.6723385,34160,128216.64503,5659729.6205416,0
2020-07-11,44.32,44.77,43.85,44.69,186318.68972,1594511999999,8259738.9982672,27163,92030.38631,4080980.0070263,0
2020-07-12,44.68,45.3,43.7,44.7,245471.12147,1594598399999,10954049.9587285,34963,118106.92652,5272799.4943934,0
2020-07-13,44.72,45.59,42.31,43.92,445103.8423,1594684799999,19783707.2392492,52216,212729.34717,9472990.3750407,0
2020-07-14,43.91,44.09,42.86,43.88,246958.9888,1594771199999,10753439.3524858,33873,123317.32656,5371228.4319533,0
2020-07-15,43.88,44.06,42.81,43.33,216931.7592,1594857599999,9414665.1219019,31043,104477.50596,4535422.9727776,0
2020-07-16,43.34,43.49,40.85,42.09,389747.37081,1594943999999,16388849.4941322,48225,184472.95298,7757259.6944901,0
2020-07-17,42.09,42.49,41.72,41.9,201904.6002,1595030399999,8482168.9087271,27190,104242.34237,4379456.1324272,0
2020-07-18,41.88,42.9,41.73,42.45,171429.48278,1595116799999,7261317.079744,24619,80650.08669,3418306.5746448,0
2020-07-19,42.45,42.89,41.83,42.64,195427.40326,1595203199999,8265623.2485772,25550,101805.33968,4305241.0432209,0
2020-07-20,42.65,42.79,41.37,41.94,180313.88112,1595289599999,7608229.1871633,26277,84565.7615,3568960.5119482,0
2020-07-21,41.94,44.11,41.87,43.77,314440.37624,1595375999999,13653758.5128644,43360,163382.25868,7093423.5583467,0
2020-07-22,43.77,45.12,43.2,44.96,335459.88539,1595462399999,14753443.1558658,44272,173254.17012,7618532.2659006,0
2020-07-23,44.96,45.63,44.52,44.94,432494.11351,1595548799999,19488260.3589614,48442,215860.64094,9727170.2932718,0
2020-07-24,44.93,44.96,43.93,44.11,246802.56871,1595635199999,10968239.4447895,38143,114393.74225,5085499.4134256,0
2020-07-25,44.12,49.52,44.03,49.16,908436.85403,1595721599999,43121417.1466133,108707,496154.23219,23538484.6969162,0
2020-07-26,49.16,50.79,47.49,48.1,895757.19561,1595807999999,43736445.022485,98088,443891.79158,21668817.3878324,0
2020-07-27,48.07,55.83,46.85,53.28,1501022.7139,1595894399999,76319950.4080479,175662,736681.75299,37466413.4828347,0
2020-07-28,53.29,57.92,51.65,55.75,1524796.93339,1595980799999,83657329.5222327,163363,749480.08383,41157797.2363245,0
2020-07-29,55.76,56.97,54.65,55.16,827762.01759,1596067199999,46195373.4472572,93016,415799.38352,23205043.4255432,0
