open_time,open,high,low,close,volume
1640995200000,46245.7,47933.15,46243.7,47735.07,202.33333
1641081600000,47727.97,47979.13,46718.5,47352.72,109.95626
1641168000000,47285.54,47556.72,45715.07,46430.02,120.78099
1641254400000,46501.03,47514.73,45557.74,45857.43,149.42865
1641340800000,45825.68,47057.69,42499.48,43438.04,233.54681
1641427200000,43399.85,43765.31,42393.03,43092.05,145.47892
1641513600000,43092.05,43123.91,38555.0,41518.5,208.18638
1641600000000,41619.25,42318.88,40505.31,41666.14,148.71233
1641686400000,41677.92,42796.38,41259.16,41851.09,103.55609
1641772800000,41830.38,42382.44,39656.0,41821.89,66.22078
1641859200000,41868.12,43100.01,41296.19,42740.38,65.1701
1641945600000,42740.38,44278.04,42477.12,43885.9,79.77016
1642032000000,43931.52,44409.68,42300.0,42512.72,102.58841
1642118400000,42605.72,43456.67,41766.61,43070.03,65.80214
1642204800000,43066.6,43763.83,42609.8,43116.95,63.0441
1642291200000,43097.36,43462.76,42588.21,43115.11,13.03709
1642377600000,43175.6,43209.07,41583.08,42261.45,32.07987
1642464000000,42249.54,42671.74,41311.4,42393.59,31.972
1642550400000,42425.05,42593.99,41195.31,41692.51,26.81647
1642636800000,41679.39,43500.0,40573.45,40720.7,23.11164
1642723200000,40714.67,41086.52,35500.0,36531.2,54.82078
1642809600000,36455.39,36748.86,34044.0,34991.91,76.08871
1642896000000,35091.48,36507.43,34649.68,36245.0,35.96376
1642982400000,36267.51,37500.0,32640.5,36692.87,53.85423
1643068800000,36600.26,43000.0,35708.5,36920.56,38.868
1643155200000,36821.0,38883.48,36276.7,36848.99,46.38916
1643241600000,36719.4,37228.15,35526.85,37107.51,29.45668
1643328000000,37065.59,37978.68,36178.1,37792.76,23.17095
1643414400000,37706.56,38724.53,37200.63,38185.18,23.86578
1643500800000,38154.33,38365.61,37297.1,37951.03,34.21729
1643587200000,37855.11,38728.24,36612.47,38453.67,48.23573
1643673600000,38396.31,39240.34,38020.4,38738.07,20.61359
1643760000000,38768.81,38813.21,36559.15,36882.33,17.75791
1643846400000,36872.32,37383.76,36216.53,37245.61,20.1935
1643932800000,37216.03,41779.31,37035.94,41561.87,50.86005
1644019200000,41604.3,41921.46,41000.0,41407.83,40.85976
1644105600000,41406.59,42659.41,41191.13,42435.03,11.66211
1644192000000,42466.41,44531.2,41657.77,43867.88,42.81396
1644278400000,43888.38,45507.45,40948.86,44070.46,93.72316
1644364800000,44047.5,44852.19,41300.01,44460.73,62.37012
1644451200000,44426.12,45798.52,43241.7,43544.78,48.52286
1644537600000,43385.36,43926.29,41990.9,42421.44,43.92387
1644624000000,42402.27,43013.9,41760.93,42221.36,16.71846
1644710400000,42228.95,42778.3,41878.81,42175.8,23.36164
1644796800000,42036.45,42839.32,41574.56,42587.31,38.8329
1644883200000,42651.3,44778.45,42459.24,44520.81,33.5237
1644969600000,44533.59,44533.59,43364.93,43766.21,15.49282
1645056000000,43920.73,44179.92,40095.5,40549.1,30.68881
1645142400000,40433.9,40947.43,39523.71,39994.23,32.08709
1645228800000,39982.19,40459.22,39694.53,40116.87,18.0305
1645315200000,40086.67,40088.39,38000.0,38373.36,17.18762
1645401600000,38335.07,39431.52,36785.27,37030.71,42.19413
1645488000000,37047.14,38458.57,36329.17,38251.67,38.59111
1645574400000,38266.92,39278.38,37057.9,37277.06,39.74804
1645660800000,37189.03,39871.68,34340.83,38320.46,99.78896
1645747200000,38381.45,39693.56,38051.64,39215.72,47.61912
1645833600000,39222.32,40300.0,38601.76,39114.32,30.83923
1645920000000,39133.0,39868.93,37001.06,37711.14,26.16146
1646006400000,37726.9,44154.73,37470.06,43193.34,64.5628
1646092800000,43236.76,44942.78,42860.33,44428.18,41.34193
1646179200000,44421.76,45311.0,43374.54,43940.7,33.16856
1646265600000,43874.27,44092.55,41868.23,42483.1,29.73312
1646352000000,42487.33,42487.33,38579.34,39152.61,44.68454
1646438400000,39158.93,39617.45,38669.1,39406.5,23.52846
1646524800000,39384.11,39690.56,38147.13,38401.61,29.92944
1646611200000,38452.88,39526.19,37188.48,38053.84,43.34483
1646697600000,38030.35,39354.41,37893.5,38732.75,55.02028
1646784000000,38763.88,42570.0,38682.04,42000.84,40.37515
1646870400000,41939.76,42019.67,38621.07,39476.99,72.65911
1646956800000,39380.21,40213.51,38279.41,38758.13,54.54701
1647043200000,38771.99,39459.77,38742.34,38742.34,9.58826
1647129600000,38779.28,39308.93,37587.55,37805.84,11.19776
1647216000000,37764.78,39850.0,37582.9,39704.12,23.28295
1647302400000,39635.23,39890.98,38236.09,39280.49,23.57213
1647388800000,39332.06,41637.83,38942.4,41158.11,59.89059
1647475200000,41145.66,41361.29,40447.37,40965.09,13.60953
1647561600000,40931.54,42342.55,40217.15,41869.97,29.05504
1647648000000,41802.44,42386.91,41569.95,42252.8,15.55492
1647734400000,42236.06,42306.5,40911.2,41269.39,12.4102
1647820800000,41313.74,41545.08,40493.11,41072.97,30.8103
1647907200000,41021.25,43451.26,40890.78,42364.05,28.37452
1647993600000,42344.4,42995.34,41696.41,42885.23,18.914
1648080000000,42917.55,44246.42,42666.5,43974.97,26.49236
1648166400000,43984.73,45102.75,43663.6,44321.9,18.43045
1648252800000,44346.64,44800.0,44111.0,44578.91,16.68353
1648339200000,44521.66,46976.78,44425.12,46846.18,13.81969
1648425600000,46791.1,48180.77,46662.4,47093.22,27.51744
1648512000000,47085.8,48103.28,46990.0,47467.1,16.39936
1648598400000,47392.23,47699.68,46305.48,47128.9,13.70297
1648684800000,47027.78,47539.06,40990.0,45515.3,20.4338
1648771200000,45564.0,46705.67,44261.9,46246.44,16.52254
1648857600000,46303.08,47151.18,44944.14,45803.32,12.468
1648944000000,45875.88,47438.76,45564.9,46394.23,14.56921
1649030400000,46246.6,46804.17,45130.05,46629.97,15.11972
1649116800000,46630.11,47132.98,45247.65,45492.37,19.04561
1649203200000,45513.38,45513.38,43118.88,43118.88,23.76239
1649289600000,43248.79,43894.53,42770.47,43433.04,13.27879
1649376000000,43442.71,43962.25,42117.51,42293.59,9.82505
1649462400000,42254.09,42794.19,42079.1,42763.86,6.96582
1649548800000,42763.86,43397.82,41915.04,42146.2,10.45126
1649635200000,42144.25,42429.76,39200.9,39465.05,30.60582
1649721600000,39521.0,40610.83,39288.63,40156.66,23.63045
1649808000000,40107.17,41512.28,39617.99,41101.25,13.82449
1649894400000,41193.35,41501.41,39617.83,39877.35,15.10327
1649980800000,39936.25,40658.85,39841.65,40585.23,10.10089
1650067200000,40520.07,40694.67,40015.1,40405.94,8.69616
1650153600000,40364.57,40519.37,39590.37,39642.26,9.82509
1650240000000,39693.7,41091.21,38582.17,40829.64,13.40059
1650326400000,40844.88,41762.1,40597.51,41527.08,18.3231
1650412800000,41500.17,42155.46,40871.81,41343.95,7.34309
1650499200000,41484.75,42924.75,39819.0,40506.7,13.32225
1650585600000,40368.87,40811.97,39220.23,39809.09,20.58887
1650672000000,39786.9,39951.45,39306.9,39529.68,7.07572
1650758400000,39531.88,39876.9,38920.87,39511.25,8.58296
1650844800000,39472.85,40567.96,38271.08,40502.08,26.72343
1650931200000,40587.29,40735.53,37711.23,38110.09,29.10974
1651017600000,38089.88,39445.01,37889.99,39227.24,19.04091
1651104000000,39244.31,40312.8,38953.7,39733.03,8.87499
1651190400000,39770.12,39865.81,38178.86,38571.27,8.99174
1651276800000,38605.5,38791.66,37615.0,37718.96,4.82142
1651363200000,37639.43,38596.52,37431.8,38436.9,8.07288
1651449600000,38499.64,39149.43,38037.6,38521.18,12.64429
1651536000000,38479.4,38662.8,37521.29,37708.32,19.29221
1651622400000,37695.85,40072.87,37645.99,39672.84,18.21112
1651708800000,39664.4,39764.25,35573.65,36530.91,29.77504
1651795200000,36578.71,36578.71,35304.96,36023.68,18.14034
1651881600000,36022.22,36084.12,34712.11,35456.93,16.13003
1651968000000,35479.61,35479.61,33719.15,33952.47,31.03683
1652054400000,34016.46,34190.82,30000.0,30092.04,47.77661
1652140800000,30164.65,33000.0,29820.38,31038.55,50.95628
1652227200000,31008.32,38000.0,27696.28,28832.6,53.090418
1652313600000,29052.75,34850.0,25115.39,29007.7,66.672301
1652400000000,28919.29,30972.94,28830.33,29286.72,25.61253
1652486400000,29205.05,30288.1,28698.13,30184.14,9.31572
1652572800000,30049.9,31336.13,29480.0,31258.71,7.67556
1652659200000,31201.16,31201.16,29067.2,29825.56,24.5621
1652745600000,29823.76,30719.38,29450.61,30380.61,18.36787
1652832000000,30483.09,30627.09,28650.0,28650.0,25.63167
1652918400000,28747.75,30452.17,28691.45,30274.59,33.86857
1653004800000,30272.66,30678.65,28713.34,29176.85,30.4028
1653091200000,29133.91,29612.63,28899.09,29451.32,9.29987
1653177600000,29407.57,30439.3,29221.82,30267.19,37.88808
1653264000000,30176.27,30628.19,28850.0,29080.18,39.85869
1653350400000,29069.56,29799.26,28650.0,29640.35,29.10217
1653436800000,29627.94,30176.27,29317.18,29516.96,18.11694
1653523200000,29542.51,29826.43,27969.71,29172.03,21.58289
1653609600000,29166.57,29342.67,28286.5,28584.27,28.96798
1653696000000,28602.61,29204.4,28481.48,29008.67,10.67651
1653782400000,28991.68,29541.06,28801.85,29413.09,10.45607
1653868800000,29360.02,32181.69,29294.43,31694.8,39.94447
1653955200000,31669.73,32258.68,30570.0,31745.56,20.74599
1654041600000,31702.92,31935.47,29354.82,29803.82,25.88619
1654128000000,29792.86,30627.09,29551.85,30423.43,9.02611
1654214400000,30416.92,30646.63,29284.21,29717.8,12.19404
1654300800000,29678.32,29953.43,29377.14,29819.05,4.22023
1654387200000,29842.14,30153.21,29512.44,29883.27,6.67488
1654473600000,29914.88,31724.0,29913.86,31320.65,22.27996
1654560000000,31296.69,31549.05,29200.65,31117.61,48.56959
1654646400000,31098.6,31275.6,29834.52,30220.38,22.39149
1654732800000,30168.6,30636.52,29862.87,30089.61,35.13053
1654819200000,30075.64,30333.6,28663.52,29031.38,37.13631
1654905600000,29066.49,29423.8,28054.77,28291.79,18.84211
1654992000000,28408.45,28504.36,26552.98,26552.98,39.33231
1655078400000,26501.0,26851.61,21942.74,22483.32,109.111943
1655164800000,22384.55,29000.0,20878.67,22117.85,54.34083
1655251200000,22092.93,22700.0,20068.3,22486.34,58.63796
1655337600000,22573.47,22879.78,20137.48,20374.84,15.49738
1655424000000,20325.28,21323.82,20226.38,20450.94,11.82412
1655510400000,20503.77,20736.73,17588.01,18975.44,67.894754
1655596800000,18960.25,20733.43,17961.3,20580.59,42.51262
1655683200000,20505.22,21032.01,19626.03,20573.09,20.23593
1655769600000,20573.09,21663.69,20343.46,20675.24,12.90739
1655856000000,20634.33,20823.55,19776.36,19994.71,10.81201
1655942400000,19954.9,21229.07,19871.49,21066.57,11.26773
1656028800000,21087.05,21600.0,20787.64,21197.32,14.15397
1656115200000,21227.81,21590.75,20901.27,21462.97,5.75327
1656201600000,21464.84,21849.86,20948.18,21005.11,10.01507
1656288000000,21020.27,21552.23,20500.0,20710.41,13.81133
1656374400000,20710.41,21186.73,20191.03,20241.46,20.3072
1656460800000,20279.91,20382.2,19865.73,20078.02,38.96528
1656547200000,20087.49,20122.77,18618.74,19867.24,73.46066
