open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2020-06-15,1.0009,1.0024,0.9995,0.9997,43944573.05,1592265599999,43986437.292892,109279,18651148.91,18672676.198612,0
2020-06-16,0.9997,1.0007,0.9993,1.0001,24363205.48,1592351999999,24368310.207731,79799,11410398.7,11413149.808104,0
2020-06-17,1.0001,1.0017,1.0,1.0012,26382574.05,1592438399999,26409977.036294,88743,13053537.42,13067012.256895,0
2020-06-18,1.0012,1.0015,1.0007,1.0012,26517894.24,1592524799999,26548254.740366,92436,11432858.03,11446501.009293,0
2020-06-19,1.0013,1.0018,1.0007,1.0017,33220497.72,1592611199999,33262777.012724,93334,16506744.73,16528604.800181,0
2020-06-20,1.0016,1.0017,1.0004,1.0006,28118538.71,1592697599999,28149378.023002,75023,11949667.15,11963696.090623,0
2020-06-21,1.0006,1.0017,1.0003,1.0015,21374677.5,1592783999999,21396087.054196,63822,11052836.61,11064875.871236,0
2020-06-22,1.0015,1.0016,0.9997,1.0001,28007737.45,1592870399999,28021247.150158,76159,9729282.67,9734334.423792,0
2020-06-23,1.0,1.0008,0.9999,1.0004,27700241.52,1592956799999,27709673.215948,80651,12404816.85,12409542.176041,0
2020-06-24,1.0004,1.0023,1.0002,1.0015,34183085.73,1593043199999,34226472.95286,86363,19141586.31,19166783.161129,0
2020-06-25,1.0014,1.0025,1.0005,1.0008,26770218.04,1593129599999,26802966.842692,73389,11441180.89,11456333.001698,0
2020-06-26,1.0008,1.0023,1.0006,1.001,30926827.05,1593215999999,30968584.40013,72768,14816106.07,14836743.490888,0
2020-06-27,1.001,1.0016,1.0008,1.0012,24687971.0,1593302399999,24718226.443259,82122,9928444.47,9941060.009502,0
2020-06-28,1.0011,1.0013,1.0004,1.0005,16431918.15,1593388799999,16445193.981344,59535,7363160.23,7369412.994642,0
2020-06-29,1.0005,1.0016,1.0003,1.0006,24111732.41,1593475199999,24134746.652434,65381,11422560.97,11433808.587946,0
2020-06-30,1.0005,1.0009,1.0002,1.0005,18627904.93,1593561599999,18638113.456976,53928,7350507.9,7354868.194131,0
2020-07-01,1.0004,1.0006,0.9997,0.9998,26164499.6,1593647999999,26166863.783634,82805,7575937.07,7577533.302103,0
2020-07-02,0.9998,1.0008,0.9997,1.0,26564423.08,1593734399999,26571796.519091,86256,10435524.34,10438909.529985,0
2020-07-03,0.9999,1.0004,0.9998,1.0,19478452.23,1593820799999,19479800.538691,62354,8279475.5,8280412.890549,0
2020-07-04,1.0,1.0003,0.9997,0.9999,15824496.72,1593907199999,15824126.266082,57641,7069600.86,7069876.633513,0
2020-07-05,0.9999,1.0002,0.9997,0.9999,17975886.47,1593993599999,17975367.054867,66622,8403594.56,8403805.800116,0
2020-07-06,0.9998,1.0003,0.9997,1.0,31186338.7,1594079999999,31186939.512709,96107,12272384.57,12272965.858909,0
2020-07-07,1.0,1.0005,0.9999,1.0002,27207265.18,1594166399999,27211536.415814,90275,12266210.39,12268430.635548,0
2020-07-08,1.0002,1.0005,0.9995,0.9996,39763682.66,1594252799999,39764528.230593,127520,17115544.36,17116592.255233,0
2020-07-09,0.9996,1.0005,0.9995,1.0001,35476695.49,1594339199999,35480855.445404,107410,18894215.37,18897123.290826,0
2020-07-10,1.0001,1.001,1.0001,1.0002,33354546.24,1594425599999,33376110.131909,97504,15583356.25,15594277.515601,0
2020-07-11,1.0002,1.0004,1.0,1.0002,18535301.17,1594511999999,18538324.093796,73308,8882248.12,8884118.384643,0
2020-07-12,1.0003,1.0003,0.9997,1.0,26105043.76,1594598399999,26105423.689717,79540,11729212.95,11729894.707877,0
2020-07-13,1.0,1.0009,0.9999,1.0007,36533396.26,1594684799999,36546320.448696,114903,19401445.83,19408986.985782,0
2020-07-14,1.0007,1.001,1.0,1.0002,32412198.03,1594771199999,32429893.555687,117459,13485891.08,13494062.514892,0
2020-07-15,1.0002,1.0014,1.0001,1.001,30615046.98,1594857599999,30639305.291306,121161,15915478.2,15928493.707781,0
2020-07-16,1.001,1.0018,1.0005,1.0007,34149648.15,1594943999999,34188691.370478,138180,14995172.48,15012934.585049,0
2020-07-17,1.0006,1.0014,1.0001,1.0003,26605076.7,1595030399999,26626152.066054,104965,9591925.93,9599712.221429,0
2020-07-18,1.0003,1.0005,0.9996,0.9997,25105396.31,1595116799999,25104784.83835,90740,9732441.82,9732515.325593,0
2020-07-19,0.9998,1.0002,0.9995,0.9997,25889002.04,1595203199999,25885171.648674,91888,13203014.13,13201571.917339,0
2020-07-20,0.9997,1.0003,0.9996,0.9998,32404645.73,1595289599999,32404887.263352,102640,14420240.21,14420670.350336,0
2020-07-21,0.9997,1.0003,0.9991,0.9993,42272210.2,1595375999999,42260849.154342,126225,16108445.9,16104993.993845,0
2020-07-22,0.9993,1.0,0.9976,0.9985,42081331.26,1595462399999,42055556.031708,106110,17183429.02,17172686.71812,0
2020-07-23,0.9986,0.9997,0.9977,0.9989,53747239.27,1595548799999,53685730.039809,125223,23069662.8,23043984.686778,0
2020-07-24,0.999,0.9995,0.9984,0.9988,48562933.04,1595635199999,48516468.64478,127695,20287543.31,20268834.391269,0
2020-07-25,0.9987,0.9993,0.9983,0.9989,43590008.87,1595721599999,43540597.409416,131886,19959132.76,19937104.617558,0
2020-07-26,0.9989,0.9998,0.9949,0.9992,64828450.89,1595807999999,64751963.753745,175387,28773116.37,28741741.821646,0
2020-07-27,0.9992,0.9995,0.9974,0.9981,111946663.09,1595894399999,111803118.133102,264560,44954055.68,44898179.944418,0
2020-07-28,0.9981,0.9998,0.998,0.9983,84734940.58,1595980799999,84630474.113709,228865,33643676.86,33602197.31763,0
2020-07-29,0.9982,0.9998,0.9982,0.9992,59910221.78,1596067199999,59859508.829684,163250,27532142.05,27508995.881515,0
2020-07-30,0.9991,0.9999,0.9983,0.9992,83478807.81,1596153599999,83414744.730519,167737,38436338.73,38408427.536231,0
2020-07-31,0.9991,0.9997,0.9984,0.9985,72800236.73,1596239999999,72724602.476722,166977,33902648.88,33869365.90509,0
2020-08-01,0.9985,0.9996,0.9972,0.9987,99326693.6,1596326399999,99204584.608387,225615,46303610.44,46250867.957221,0
2020-08-02,0.9988,1.0,0.9987,1.0,100742663.57,1596412799999,100689899.245922,264966,56762566.61,56734976.374371,0
2020-08-03,1.0,1.0002,0.9986,0.9991,66234654.76,1596499199999,66202715.128245,171278,31315710.93,31302749.654983,0
2020-08-04,0.9991,1.0001,0.9991,0.9995,72615202.58,1596585599999,72583439.146402,161330,37955314.46,37940182.125395,0
2020-08-05,0.9995,1.0001,0.9975,0.9989,76926896.8,1596671999999,76869733.685356,156519,34927422.89,34904420.656812,0
2020-08-06,0.9989,0.9995,0.9987,0.9992,69508331.42,1596758399999,69443599.0934,150583,35083147.99,35051911.05997,0
2020-08-07,0.9992,0.9998,0.9988,0.9989,63221189.32,1596844799999,63183992.074498,135089,31569075.87,31551935.792867,0
2020-08-08,0.9989,0.9994,0.9986,0.9993,49547634.05,1596931199999,49500600.138284,107722,26493834.89,26469950.22119,0
2020-08-09,0.9993,0.9995,0.9988,0.9995,58101362.76,1597017599999,58054224.680113,121668,30644357.69,30620794.672409,0
2020-08-10,0.9994,0.9995,0.9977,0.9992,70962282.69,1597103999999,70875420.300551,148860,31936919.34,31900350.311089,0
